SIC	Description
4213	"Specialized Freight (Except Used Goods) Trucking, Long Distance"
4213	"General Freight Trucking, Long-Distance, Truckload"
4213	"Specialized Freight (Except Used Goods) Trucking, Long-Distance"
4213	"General Freight Trucking, Long Distance, Less Than Truckload"
4213	Used Household and Office Goods Moving
4215	Local Messengers and Local Delivery
4215	Courier and Express Delivery Services
4221	Farm Product Warehousing and Storage
4222	Refrigerated Warehousing and Storage
4225	General Warehousing and Storage
4225	Lessors of Miniwarehouses and Self-Storage Units
4226	Other Warehousing and Storage
4412	Deep Sea Freight Transportation
4449	Inland Water Freight Transportation
4481	Deep Sea Passenger Transportation
4482	Coastal and Great Lakes Passenger Transportation
4489	Inland Water Passenger Transportation
4489	"Scenic and Sightseeing Transportation, Water"
4491	Marine Cargo Handling
4491	Port and Harbor Operations
4493	Marinas
4499	Other Support Activities for Water Transportation
4499	Navigational Services to Shipping
4499	"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
4512	Scheduled Passenger Air Transportation
4512	Scheduled Freight Air Transportation
4522	"Scenic and Sightseeing Transportation, Other"
4522	Nonscheduled Chartered Freight Air Transportation
4522	Nonscheduled Chartered Passenger Air Transportation
4581	Other Support Activities for Air Transportation
4581	Other Airport Operations
4612	Pipeline Transportation of Crude Oil
4613	Pipeline Transportation of Refined Petroleum Products
4619	All Other Pipeline Transportation
4724	Travel Agencies
4725	Tour Operators
4729	All Other Travel Arrangement and Reservation Services
4731	Freight Transportation Arrangement
4783	Packing and Crating
4785	Other Support Activities for Water Transportation
4785	Other Support Activities for Road Transportation
4789	Support Activities for Rail Transportation
4789	All Other Support Activities for Transportation
4812	Wireless Telecommunications Carriers (Except Satellite)
4813	Telecommunications Resellers
4813	Wired Telecommunications Carriers
4822	Wired Telecommunications Carriers
4832	Radio Stations
4833	Television Broadcasting
4841	Cable and Other Subscription Programming
4899	Satellite Telecommunications
4899	Telecommunications NOC
4899	All Other Telecommunications
4911	Electric Power Distribution
4922	Pipeline Transportation of Natural Gas
4924	Natural Gas Distribution
4941	Water Supply and Irrigation Systems
4952	Sewage Treatment Facilities
4953	Hazardous Waste Treatment and Disposal
4953	Other Nonhazardous Waste Treatment and Disposal
4953	Solid Waste Combustors and Incinerators
4953	Solid Waste Landfill
4953	Materials Recovery Facilities
4953	Solid Waste Collection
4959	Exterminating and Pest Control Services
4959	All Other Misc. Waste Management Services
4961	Steam and Air Conditioning Supply
4971	Water Supply and Irrigation Systems
5012	Automobile and Other Motor Vehicle Merchant Wholesalers
5013	Motor Vehicle Supplies and New Parts Merchant Wholesalers
5014	Tire and Tube Merchant Wholesalers
5015	Motor Vehicle Parts (Used) Merchant Wholesalers
5021	Furniture Merchant Wholesalers
5023	Home Furnishing Merchant Wholesalers
5031	"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
5032	"Brick, Stone, and Related Construction Material Merchant Wholesalers"
5032	Other Building Material Dealers
5033	"Roofing, Siding, and Insulation Material Merchant Wholesalers"
5039	"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
5039	Other Construction Material Merchant Wholesalers
5043	Photographic Equipment and Supplies Merchant Wholesalers
5044	Office Equipment Merchant Wholesalers
5045	Electronics Stores
5045	Computer and Computer Peripheral Equipment And Saftware Merchant Wholesalers
5046	Other Commercial Equipment Merchant Wholesalers
5047	"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
5048	Ophthalmic Goods Merchant Wholesalers
5049	Other Professional Equipment and Supplies Merchant Wholesalers
5051	Metal Service Centers and Other Metal Merchant Wholesalers
5052	Coal and Other Mineral and Ore Merchant Wholesalers
5063	"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
5063	Other Building Material Dealers
5064	"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
5065	Other Electronic Parts and Equipment Merchant Wholesalers
5072	Hardware Merchant Wholesalers
5074	Other Building Material Dealers
5074	Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
5075	Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
5078	Refrigeration Equipment and Supplies Merchant Wholesalers
5082	Construction and Mining (Except Oil Well) Machinery and Equipment Merchant Wholesalers
5083	Farm and Garden Machinery and Equipment Merchant Wholesalers
5084	Industrial Machinery and Equipment Merchant Wholesalers
5085	Industrial Supplies Merchant Wholesalers
5087	Service Establishment Equipment and Supplies Merchant Wholesalers
5088	Transportation Equipment and Supplies (Except Motor Vehicles) Merchant Wholesalers
5091	Sporting and Recreational Goods and Supplies Merchant Wholesalers
5092	Toy and Hobby Goods and Supplies Merchant Wholesalers
5093	Recyclable Material Merchant Wholesalers
5094	"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
5099	Other Misc. Durable Goods Merchant Wholesalers
5111	Printing and Writing Paper Merchant Wholesalers
5112	Office Supplies and Stationery Stores
5112	Stationery and Office Supplies Merchant Wholesalers
5113	Industrial and Personal Service Paper Merchant Wholesalers
5122	Drugs and Druggists' Sundries Merchant Wholesalers
5122	Drugs and Druggists Sundries Merchant Wholesalers
5131	"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
5136	Mens and Boys Clothing and Furnishings Merchant Wholesalers
5137	"Womens, Childrens, and Infants Clothing and Accessories Merchant Wholesalers"
5139	Footwear Merchant Wholesalers
5141	General Line Grocery Merchant Wholesalers
5142	Packaged Frozen Food Merchant Wholesalers
5143	Dairy Product (Except Dried or Canned) Merchant Wholesalers
5144	Poultry and Poultry Product Merchant Wholesalers
5145	Confectionery Merchant Wholesalers
5146	Fish and Seafood Merchant Wholesalers
5147	Meat and Meat Product Merchant Wholesalers
5148	Fresh Fruit and Vegetable Merchant Wholesalers
5149	Other Grocery and Related Products Merchant Wholesalers
5153	Grain and Field Bean Merchant Wholesalers
5154	Livestock Merchant Wholesalers
5159	Other Farm Product Raw Material Merchant Wholesalers
5162	Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
5169	Other Chemical and Allied Products Merchant Wholesalers
5171	Fuel Dealers
5171	Petroleum Bulk Stations and Terminals
5172	Petroleum and Petroleum Products Merchant Wholesalers (Except Bulk Stations and Terminals)
5181	Beer and Ale Merchant Wholesalers
5182	Wine and Distilled Alcoholic Beverage Merchant Wholesalers
5191	Farm Supplies Merchant Wholesalers
5191	"Nursery, Garden Center, and Farm Supply Stores"
5192	"Book, Periodical, and Newspaper Merchant Wholesalers"
5193	"Flower, Nursery Stock, and Florists Supplies Merchant Wholesalers"
5194	Tobacco and Tobacco Product Merchant Wholesalers
5198	"Paint, Varnish, and Supplies Merchant Wholesalers"
5199	Other Misc. Nondurable Goods Merchant Wholesalers
5211	Other Building Material Dealers
5211	Home Centers
5231	Other Building Material Dealers
5231	Paint and Wallpaper Stores
5251	Hardware Stores
5261	Farm Supplies Merchant Wholesalers
5261	Outdoor Power Equipment Stores
5271	Manufactured (Mobile) Home Dealers
5311	Department Stores (Except Discount Department Stores)
5311	Discount Department Stores
5331	All Other General Merchandise Stores
5399	All Other General Merchandise Stores
5411	Convenience Stores
5411	Supermarkets and Other Grocery (Except Convenience) Stores
5421	Fish and Seafood Markets
5421	Meat Markets
5431	Fruit and Vegetable Markets
5441	Confectionery and Nut Stores
5451	All Other Specialty Food Stores
5461	Retail Bakeries
5461	Baked Goods Stores
5461	Snack and Nonalcoholic Beverage Bars
5499	All Other Specialty Food Stores
5499	Food (Health) Supplement Stores
5511	New Car Dealers
5521	Used Car Dealers
5531	Automotive Parts and Accessories Stores
5531	Tire Dealers
5541	Gasoline Stations with Convenience Stores
5541	Other Gasoline Stations
5551	Boat Dealers
5561	Recreational Vehicle Dealers
5571	"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
5599	"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
5611	Mens Clothing Stores
5621	Womens Clothing Stores
5641	Childrens and Infants Clothing Stores
5651	Family Clothing Stores
5661	Shoe Stores
5699	Other Clothing Stores
5699	Clothing Accessories Stores
5712	Furniture Stores
5713	Floor Covering Stores
5714	Window Treatment Stores
5722	Household Appliance Stores
5731	Electronics Stores
5734	Electronics Stores
5735	Musical Instrument and Supplies Stores
5736	Musical Instrument and Supplies Stores
5812	Snack and Nonalcoholic Beverage Bars
5812	Food Service Contractors
5812	Caterers
5812	Full-Service Restaurants
5812	Limited-Service Restaurants
5812	"Cafeterias, Grill Buffets, and Buffets"
5812	Theater Cos. and Dinner Theaters
5813	Drinking Places (Alcoholic Beverages)
5912	Pharmacies and Drug Stores
5921	"Beer, Wine, and Liquor Stores"
5932	All Other Nondepository Credit Intermediation
5932	Used Merchandise Stores
5941	Sporting Goods Stores
5942	Book Stores
5944	Jewelry Stores
5945	"Hobby, Toy, and Game Stores"
5946	Electronics Stores
5947	"Gift, Novelty, and Souvenir Stores"
5948	Luggage and Leather Goods Stores
5949	"Sewing, Needlewoork, and Piece Goods Stores"
5961	Electronic Auctions
5961	Electronic Shopping
5961	Mail Order Houses
5962	Vending Machine Operators
5963	Other Direct Selling Establishments
5983	Fuel Dealers
5984	Fuel Dealers
5989	Fuel Dealers
5992	Florists
5993	Tobacco Stores
5994	News Dealers and Newsstands
5995	Optical Goods Stores
5999	All Other Health and Personal Care Stores
5999	Art Dealers
5999	All Other Misc. Store Retailers (Except Tobacco Stores)
5999	"Cosmetics, Beauty Supplies, and Perfume Stores"
5999	Pet and Pet Supplies Stores
5999	Other Grocery and Related Products Merchant Wholesalers
6011	Monetary Authorities--Central Bank
6022	Depository Credit Intermediation
6029	Commercial Banking
6061	Credit Unions
6099	Other Activities Related to Credit Intermediation
6141	Consumer Lending
6141	Credit Card Issuing
6162	Real Estate Credit
6163	Mortgage and Nonmortgage Loan Brokers
6211	Securities Brokerage
6211	Investment Banking and Securities Dealing
6221	Commodity Contracts Brokerage
6231	Securities and Commodity Exchanges
6282	Investment Advice
6311	Direct Life Insurance Carriers
6331	Direct Property and Casualty Insurance Carriers
6361	Direct Title Insurance Carriers
6371	Health and Welfare Funds
6371	Pension Funds
6411	Claims Adjusting
6411	Insurance Agencies and Brokerages
6411	Insurance Agencies & Brokerages
6411	All Other Insurance Related Activities
6512	Lessors of Nonresidential Buildings (Except Miniwarehouses)
6513	Lessors of Residential Buildings and Dwellings
6514	Lessors of Residential Buildings and Dwellings
6515	Lessors of Other Real Estate Property
6519	Lessors of Other Real Estate Property
6531	Other Activities Related to Real Estate
6531	Offices of Real Estate Agents and Brokerages
6531	Offices of Real Estate Appraisers
6531	Residential Property Managers
6531	Nonresidential Property Managers
6541	Title Abstract and Settlement Offices
6552	Land Subdivision
6553	Cemeteries and Crematories
6712	Offices of Bank Holding Cos.
6719	Offices of Other Holding Cos.
6722	Open-End Investment Funds
6732	Grantmaking Foundations
6733	"Trusts, Estates, and Agency Accounts"
7011	Casino Hotels
7011	Bed-and-Breakfast Inns
7011	Hotels (Except Casino Hotels) and Motels
7011	All Other Traveler Accommodations
7021	Rooming and Boarding Houses
7032	Recreational and Vacation Camps (Except Campgrounds)
7033	RV (Recreational Vehicle) Parks and Campgrounds
7048	Other Spectator Sports
7211	Drycleaning and Laundry Services (Except Coin-Operated)
7213	Linen Supply
7215	Coin-Operated Laundries and Drycleaners
7216	Drycleaning and Laundry Services (Except Coin-Operated)
7217	Carpet and Upholstery Cleaning Services
7218	Industrial Launderers
7219	Linen Supply
7221	"Photography Studios, Portrait"
7231	Cosmetology and Barber Schools
7231	Beauty Salons
7231	Nail Salons
7241	Barber Shops
7251	Footwear and Leather Goods Repair
7261	Cemeteries and Crematories
7261	Funeral Homes and Funeral Services
7291	Tax Preparation Services
7299	Formal Wear and Costume Rental
7299	All Other Personal Services
7299	Diet and Weight Reducing Centers
7299	"Barbershop, Beauty Parlor, or Hair Styling Salon"
7311	Advertising Agencies
7312	Outdoor Advertising
7313	Media Representatives
7319	Media Buying Agencies
7322	Collection Agencies
7323	Credit Bureaus
7331	Direct Mail Advertising
7334	Other Business Service Centers (Including Copy Shops)
7335	Other Nonscheduled Air Transportation
7338	Court Reporting and Stenotype Services
7338	Telemarketing Bureaus and Other Contact Centers
7338	Document Preparation Services
7342	Exterminating and Pest Control Services
7349	Janitorial Services
7349	Other Services to Buildings and Dwellings
7352	Home Health Equipment Rental
7352	Other Commercial and Industrial Machinery and Equipment Rental and Leasing
7353	All Other Specialty Trade Contractors
7353	"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
7359	General Rental Centers
7359	Consumer Electronics and Appliances Rental
7359	All Other Consumer Goods Rental
7363	Temporary Help Services
7363	Professional Employer Organizations
7371	Custom Computer Programming Services
7372	"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
7372	Software Publishers
7373	Computer Systems Design Services
7374	"Data Processing, Hosting, and Related Services"
7376	Computer Facilities Management Services
7378	Computer and Office Machine Repair and Maintenance
7379	Other Computer Related Services
7381	Security Guards and Patrol Services
7381	Armored Car Services
7381	Investigation Services
7382	Security Systems Services (Except Locksmiths)
7383	News Syndicates
7384	Photofinishing Laboratories (Except One-Hour)
7384	One-Hour Photofinishing
7389	All Other Misc. Chemical Product and Preparation Mfg.
7389	Other Specialized Design Services
7389	Sound Recording Studios
7389	Other Sound Recording Industries
7389	Other Services to Buildings and Dwellings
7389	Interior Design Services
7389	Repossession Services
7389	All Other Support Services
7389	Packaging and Labeling Services
7389	Industrial Design Services
7389	Drafting Services
7389	Building Inspection Services
7389	Convention and Visitors Bureaus
7389	All Other Business Support Services
7389	Translation and Interpretation Services
7389	Private Mail Centers
7389	All Other Information Services
7389	Telephone Answering Services
7389	All Other Legal Services
7389	Other Services Related to Advertising
7389	Convention and Trade Show Organizers
7513	"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
7514	Passenger Car Rental
7515	Passenger Car Leasing
7519	"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
7521	Parking Lots and Garages
7532	"Automotive Body, Paint, and Interior Repair and Maintenance"
7533	Automotive Exhaust System Repair
7534	Tire Retreading
7536	Automotive Glass Replacement Shops
7537	Automotive Transmission Repair
7538	General Automotive Repair
7539	Other Automotive Mechanical and Electrical Repair and Maintenance
7539	All Other Automotive Repair and Maintenance
7542	Car Washes
7549	Motor Vehicle Towing
7549	Automotive Oil Change and Lubrication Shops
7622	Communication Equipment Repair and Maintenance
7623	Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance
7623	Household Appliance Stores
7623	Appliance Repair and Maintenance
7629	Consumer Electronics Repair and Maintenance
7629	Computer and Office Machine Repair and Maintenance
7629	Household Appliance Stores
7641	Reupholstery and Furniture Repair
7692	Other Personal and Household Goods Repair and Maintenance
7699	Support Activities for Animal Production
7699	Home and Garden Equipment Repair and Maintenance
7699	Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance
7699	Septic Tank and Related Services
7699	Other Electronic and Precision Equipment Repair and Maintenance
7699	Other Personal and Household Goods Repair and Maintenance
7699	Other Support Activities for Water Transportation
7699	Locksmiths
7699	All Other Home Furnishings Stores
7699	Other Services to Buildings and Dwellings
7812	Motion Picture and Video Production
7819	Teleproduction and Other Postproduction Services
7819	"Prerecorded Compact Disc (Except Software), Tape, and Record Producing"
7819	Other Motion Picture and Video Industries
782	Landscaping Services
7822	Motion Picture and Video Distribution
7829	Motion Picture and Video Distribution
7832	Motion Picture Theaters (Except Drive-Ins)
7833	Drive-in Motion Picture Theaters
7841	Video Tape and Disc Rental
7911	All Other Amusement and Recreation Industries
7922	Theater Cos. and Dinner Theaters
7922	Dance Cos.
7922	Musical Groups and Artists
7933	Bowling Centers
7941	"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
7941	"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
7948	Racetracks
7948	Other Spectator Sports
7991	Fitness and Recreational Sports Centers
7992	Golf Courses and Country Clubs
7993	Amusement Arcades
7996	Amusement and Theme Parks
7997	All Other Amusement and Recreation Industries
7997	Golf Courses and Country Clubs
7997	Fitness and Recreational Sports Centers
7999	All Other Amusement and Recreation Industries
7999	Recreational Goods Rental
7999	Fitness and Recreational Sports Centers
7999	Nature Parks and Other Similar Institutions
7999	"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
7999	Sports and Recreation Instruction
7999	Skiing Facilities
7999	Other Gambling Industries
7999	Casinos (Except Casino Hotels)
7999	"Other Similar Organizations (Except Business, Professional, Labor, and Political Organizations)"
7999	Other Performing Arts Cos.
8011	Freestanding Ambulatory Surgical and Emergency Centers
8011	HMO Medical Centers
8011	Offices of Physicians (Except Mental Health Specialists)
8011	"Offices of Physicians, Mental Health Specialists"
8021	Offices of Dentists
8041	Offices of Chiropractors
8042	Offices of Optometrists
8043	Offices of Podiatrists
8049	Offices of Mental Health Practitioners (Except Physicians)
8049	Offices of All Other Misc. Health Practitioners
8049	"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
8051	Nursing Care Facilities (Skilled Nursing Facilities)
8052	Nursing Care Facilities (Skilled Nursing Facilities)
8052	Residential Intellectual and Developmental Disability Facilities
8059	Continuing Care Retirement Centers
8059	Nursing Care Facilities (Skilled Nursing Facilities)
8062	General Medical and Surgical Hospitals
8063	Psychiatric and Substance Abuse Hospitals
8069	Psychiatric and Substance Abuse Hospitals
8069	Specialty (Except Psychiatric and Substance Abuse) Hospitals
8071	Diagnostic Imaging Centers
8071	Medical Laboratories
8072	Dental Laboratories
8082	Home Health Care Services
8092	Kidney Dialysis Centers
8093	Family Planning Centers
8093	Outpatient Mental Health and Substance Abuse Centers
8093	All Other Outpatient Care Centers
8099	All Other Misc. Ambulatory Health Care Services
8099	Blood and Organ Banks
8111	Offices of Lawyers
8211	Elementary and Secondary Schools
8221	"Colleges, Universities, and Professional Schools"
8221	Junior Colleges
8231	Libraries and Archives
8243	Computer Training
8249	Flight Training
8249	Apprenticeship Training
8299	Professional and Management Development Training
8299	Exam Preparation and Tutoring
8299	Language Schools
8299	Automobile Driving Schools
8322	Temporary Shelters
8322	Community Food Services
8322	Other Community Housing Services
8322	Emergency and Other Relief Services
8322	Other Individual and Family Services
8322	Services for the Elderly and Persons with Disabilities
8331	Vocational Rehabilitation Services
8351	Child Day Care Services
8361	Other Residential Care Facilities
8361	Assisted Living Facilities for the Elderly
8361	Residential Mental Health and Substance Abuse Facilities
8361	Nursing Care Facilities (Skilled Nursing Facilities)
8399	"Environment, Conservation, and Wildlife Organizations"
8399	Other Grantmaking and Giving Services
8399	Human Rights Organizations
8412	Museums
8412	Historical Sites
8422	Zoos and Botanical Gardens
8621	Professional Organizations
8631	Labor Unions and Similar Labor Organizations
8641	Civic and Social Organizations
8641	"Other Similar Organizations (Except Business, Professional, Labor, and Political Organizations)"
8641	Child and Youth Services
8651	Political Organizations
8661	Religious Organizations
8699	"Other Similar Organizations (Except Business, Professional, Labor, and Political Organizations)"
8711	Engineering Services
8712	Architectural Services
8713	Surveying and Mapping (Except Geophysical) Services
8721	Other Accounting Services
8721	Offices of Certified Public Accountants
8732	Research and Development in Biotechnology
8732	Marketing Research and Public Opinion Polling
8734	Testing Laboratories
8741	Other Heavy and Civil Engineering Construction
8741	Office Administrative Services
8742	Administrative Management and General Management Consulting Services
8742	Marketing Consulting Services
8743	Public Relations Agencies
8744	Facilities Support Services
8748	Other Management Consulting Services
8811	Private Households
8999	Record Production
8999	Environmental Consulting Services
9199	Other General Government Support
9221	Police Protection
9223	Correctional Institutions
9224	Fire Protection
9511	Administration of Air and Water Resource and Solid Waste Management Programs
9531	Administration of Housing Programs
9661	Space Research and Technology
9711	National Security
